기준연도,시도코드,시도명,대학구분명,대학교명,본분교구분명,설립형태구분명,평균입학금액,평균등록금액,데이터기준일자,제공기관코드,제공기관명
2025,29,광주광역시,대학,광주여자대학교,본교,사립,0,6600791,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,숙명여자대학교,본교,사립,0,8593005.8,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,한세대학교,본교,사립,0,8598513.3,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,숭실대학교,본교,사립,0,8408228,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,중앙승가대학교,본교,사립,0,1820000,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,대학,전주대학교,본교,사립,0,7323162.2,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,아신대학교,본교,사립,0,6900000,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,연세대학교,본교,사립,0,9660089.5,2025-05-19,B552529,한국장학재단
2025,47,경상북도,대학,대구대학교,본교,사립,0,7323331,2025-05-19,B552529,한국장학재단
2025,47,경상북도,대학,영남대학교,본교,사립,0,7845686.1,2025-05-19,B552529,한국장학재단
2025,46,전라남도,대학,영산선학대학교,본교,사립,0,2000000,2025-05-19,B552529,한국장학재단
2025,46,전라남도,대학,세한대학교,본교,사립,0,7766246,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,대학,우석대학교,본교,사립,0,7287330.8,2025-05-19,B552529,한국장학재단
2025,41,경기도,대학,안양대학교,본교,사립,0,8024922.1,2025-05-19,B552529,한국장학재단
2025,31,울산광역시,대학,울산대학교,본교,사립,0,7730241.2,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,대학,원광대학교,본교,사립,0,7864062.3,2025-05-19,B552529,한국장학재단
2025,47,경상북도,대학,신경주대학교,본교,사립,0,7492471.5,2025-05-19,B552529,한국장학재단
